0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:27:01 +0530] "GET / HTTP/1.1" 200 - "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "-"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:27:01 +0530] "GET /css/sonar.b06ee6ee.css HTTP/1.1" 200 - "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "-"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:27:01 +0530] "GET /js/vendor.017c6e7f.js HTTP/1.1" 200 - "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "-"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:27:01 +0530] "GET /js/app.b06ee6ee.js HTTP/1.1" 200 - "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "-"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:27:02 +0530] "GET /favicon.ico HTTP/1.1" 200 5430 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "-"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:27:02 +0530] "GET /api/l10n/index?locale=en-GB HTTP/1.1" 200 - "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "-"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:27:03 +0530] "GET /api/system/status HTTP/1.1" 200 73 "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "-"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:27:03 +0530] "GET /api/system/status HTTP/1.1" 200 73 "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "-"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:27:08 +0530] "GET /api/system/status HTTP/1.1" 200 67 "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqnR9L89HKHLQxAAAA"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:27:11 +0530] "GET / HTTP/1.1" 200 - "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqnR9L89HKHLQxAAAB"
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:27:11 +0530] "GET /api/l10n/index?locale=en-GB&ts=2017-12-06T06%3A57%3A02%2B0000 HTTP/1.1" 304 - "http://localhost:9000/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/62.0.3202.94 Chrome/62.0.3202.94 Safari/537.36" "AWAqnR9L89HKHLQxAAAC"
